fpl,understat,fpl_2024-25
Mahmoud Dahoud,Mahmoud Dahoud,119.0
Alex Scott,Alex Scott,77.0
Christopher Nkunku,Christopher Nkunku,181.0
Axel Tuanzebe,Axel Tuanzebe,282.0
Kasey McAteer,Kasey McAteer,299.0
Jesurun Rak-Sakyi,Jesurun Rak-Sakyi,213.0
Orel Mangala,Orel Mangala,651.0
Jonny Evans,Jonny Evans,371.0
Ollie Watkins,Ollie Watkins,58.0
Ryan Christie,Ryan Christie,63.0
Michael Keane,Michael Keane,228.0
Morgan Gibbs-White,Morgan Gibbs-White,433.0
Harry Wilson,Harry Wilson,259.0
Jason Steele,Jason Steele,142.0
Virgil van Dijk,Virgil van Dijk,339.0
Roman Dixon,Roman Dixon,627.0
Matt Turner,Matt Turner,445.0
Federico Chiesa,Federico Chiesa,636.0
Vitaly Janelt,Vitaly Janelt,94.0
Lamare Bogarde,Lamare Bogarde,598.0
Ben Mee,Ben Mee,100.0
Jordan Pickford,Jordan Pickford,235.0
Dwight McNeil,Dwight McNeil,230.0
Joel Ward,Joel Ward,215.0
Kenny Tete,Kenny Tete,257.0
Jack Taylor,Jack Taylor,281.0
Conor Gallagher,Conor Gallagher,169.0
Ramón Sosa,Ramón Sosa,620.0
Daniel Muñoz,Daniel Muñoz,211.0
Kyle Walker-Peters,Kyle Walker-Peters,476.0
Mohamed Salah,Mohamed Salah,328.0
Ryan Fraser,Ryan Fraser,397.0
Billy Gilmour,Billy Gilmour,124.0
Bilal El Khannouss,Bilal El Khannouss,635.0
Rico Henry,Rico Henry,92.0
Ethan Pinnock,Ethan Pinnock,104.0
Aaron Wan-Bissaka,Aaron Wan-Bissaka,388.0
Jannik Vestergaard,Jannik Vestergaard,307.0
Harrison Armstrong,Harrison Armstrong,603.0
Jacob Greaves,Jacob Greaves,270.0
Mathias Jensen,Mathias Jensen,95.0
Jhon Durán,Jhon Durán,38.0
Jarrad Branthwaite,Jarrad Branthwaite,219.0
Ross Barkley,Ross Barkley,29.0
Ross Stewart,Ross Stewart,473.0
Declan Rice,Declan Rice,16.0
Mikey Moore,Mikey Moore,610.0
Jake O'Brien,Jake O'Brien,582.0
Kai Havertz,Kai Havertz,4.0
Ryan Gravenberch,Ryan Gravenberch,323.0
Jean-Clair Todibo,Jean-Clair Todibo,591.0
Dan Burn,Dan Burn,395.0
Simon Adingra,Simon Adingra,113.0
Alex Iwobi,Alex Iwobi,247.0
Jan Bednarek,Jan Bednarek,455.0
Caleb Okoli,Caleb Okoli,301.0
Archie Gray,Archie Gray,489.0
Ilkay Gündogan,Ilkay Gündogan,625.0
Nathan Patterson,Nathan Patterson,234.0
Jack Grealish,Jack Grealish,349.0
Adam Wharton,Adam Wharton,216.0
Morgan Rogers,Morgan Rogers,54.0
Maxwel Cornet,Maxwel Cornet,515.0
Carlos Baleba,Carlos Baleba,115.0
Carlos Soler,Carlos Soler,654.0
Max Aarons,Max Aarons,59.0
Christian Nørgaard,Christian Nørgaard,101.0
Harvey Barnes,Harvey Barnes,392.0
Adam Webster,Adam Webster,147.0
Arijanet Muric,Arijanet Muric,568.0
Cristian Romero,Cristian Romero,498.0
Cody Gakpo,Cody Gakpo,321.0
Noni Madueke,Noni Madueke,177.0
Brennan Johnson,Brennan Johnson,491.0
Conor Chaplin,Conor Chaplin,265.0
Jack Stephens,Jack Stephens,472.0
Jeffrey Schlupp,Jeffrey Schlupp,214.0
Jordan Ayew,Jordan Ayew,192.0
Manuel Ugarte,Manuel Ugarte,652.0
Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,44.0
Andy Irving,Andy Irving,576.0
Facundo Buonanotte,Facundo Buonanotte,117.0
Lisandro Martínez,Lisandro Martínez,380.0
Ibrahima Konaté,Ibrahima Konaté,326.0
Chris Mepham,Chris Mepham,72.0
Jarell Quansah,Jarell Quansah,333.0
Adam Smith,Adam Smith,81.0
Konstantinos Mavropanos,Konstantinos Mavropanos,528.0
Antoine Semenyo,Antoine Semenyo,78.0
Leandro Trossard,Leandro Trossard,23.0
Pascal Groß,Pascal Groß,125.0
Mason Holgate,Mason Holgate,225.0
Danny Welbeck,Danny Welbeck,148.0
Alejandro Garnacho,Alejandro Garnacho,372.0
Ryan Yates,Ryan Yates,449.0
Harry Toffolo,Harry Toffolo,444.0
James Maddison,James Maddison,494.0
Matt Targett,Matt Targett,416.0
Conor Coady,Conor Coady,288.0
Christian Eriksen,Christian Eriksen,370.0
Dominic Calvert-Lewin,Dominic Calvert-Lewin,220.0
James Milner,James Milner,134.0
Dean Huijsen,Dean Huijsen,580.0
Luke Woolfenden,Luke Woolfenden,284.0
Ashley Young,Ashley Young,238.0
Alphonse Areola,Alphonse Areola,513.0
Lloyd Kelly,Lloyd Kelly,404.0
Samuel Amo-Ameyaw,Samuel Amo-Ameyaw,451.0
Idrissa Gueye,Idrissa Gueye,222.0
Robin Olsen,Robin Olsen,51.0
Yasin Ayari,Yasin Ayari,600.0
Chiedozie Ogbene,Chiedozie Ogbene,632.0
Kalvin Phillips,Kalvin Phillips,359.0
Jan Paul van Hecke,Jan Paul van Hecke,144.0
George Edmundson,George Edmundson,269.0
Rodrigo Bentancur,Rodrigo Bentancur,480.0
Kyle Walker,Kyle Walker,363.0
Carney Chukwuemeka,Carney Chukwuemeka,161.0
Victor Kristiansen,Victor Kristiansen,296.0
Elliot Anderson,Elliot Anderson,423.0
Guglielmo Vicario,Guglielmo Vicario,508.0
Vitalii Mykolenko,Vitalii Mykolenko,231.0
Flynn Downes,Flynn Downes,518.0
Jack Harrison,Jack Harrison,224.0
Justin Kluivert,Justin Kluivert,71.0
Jacob Murphy,Jacob Murphy,402.0
Callum Hudson-Odoi,Callum Hudson-Odoi,434.0
Mohammed Kudus,Mohammed Kudus,525.0
Jean-Ricner Bellegarde,Jean-Ricner Bellegarde,535.0
Aaron Ramsdale,Aaron Ramsdale,14.0
Lewis Hall,Lewis Hall,399.0
Jack Hinshelwood,Jack Hinshelwood,126.0
Max Kilman,Max Kilman,524.0
Marcus Rashford,Marcus Rashford,385.0
Tyler Dibling,Tyler Dibling,608.0
Reiss Nelson,Reiss Nelson,10.0
Chris Wood,Chris Wood,447.0
Tyrone Mings,Tyrone Mings,49.0
Dara O'Shea,Dara O'Shea,630.0
James Garner,James Garner,223.0
Abdul Fatawu,Abdul Fatawu,570.0
Taylor Harwood-Bellis,Taylor Harwood-Bellis,461.0
Wes Burns,Wes Burns,264.0
Liam Delap,Liam Delap,268.0
Caoimhin Kelleher,Caoimhin Kelleher,325.0
Luis Díaz,Luis Díaz,327.0
Crysencio Summerville,Crysencio Summerville,587.0
Tim Ream,Tim Ream,253.0
Hamza Choudhury,Hamza Choudhury,287.0
Antonee Robinson,Antonee Robinson,255.0
Lucas Bergvall,Lucas Bergvall,481.0
Pau Torres,Pau Torres,52.0
Chris Richards,Chris Richards,194.0
Wesley Fofana,Wesley Fofana,189.0
Milos Kerkez,Milos Kerkez,70.0
Timo Werner,Timo Werner,509.0
Samuel Edozie,Samuel Edozie,459.0
Joachim Andersen,Joachim Andersen,191.0
Daniel Jebbison,Daniel Jebbison,69.0
Jay Stansfield,Jay Stansfield,256.0
Jens Cajuste,Jens Cajuste,619.0
Alex McCarthy,Alex McCarthy,469.0
Wilfred Ndidi,Wilfred Ndidi,300.0
Nick Pope,Nick Pope,413.0
Mark Travers,Mark Travers,84.0
Tyler Adams,Tyler Adams,60.0
James McAtee,James McAtee,357.0
Raheem Sterling,Raheem Sterling,186.0
James Hill,James Hill,68.0
Jarrod Bowen,Jarrod Bowen,514.0
Iliman Ndiaye,Iliman Ndiaye,232.0
Philip Billing,Philip Billing,76.0
Dango Ouattara,Dango Ouattara,74.0
James Ward-Prowse,James Ward-Prowse,531.0
Christian Walton,Christian Walton,283.0
Bart Verbruggen,Bart Verbruggen,146.0
John Stones,John Stones,362.0
Cameron Archer,Cameron Archer,27.0
Boubacar Kamara,Boubacar Kamara,42.0
Cole Palmer,Cole Palmer,182.0
Naouirou Ahamada,Naouirou Ahamada,190.0
Thomas Partey,Thomas Partey,20.0
Robert Sánchez,Robert Sánchez,185.0
Mykhailo Mudryk,Mykhailo Mudryk,179.0
Tom Cairney,Tom Cairney,243.0
Eberechi Eze,Eberechi Eze,199.0
Fabian Schär,Fabian Schär,415.0
Alexander Isak,Alexander Isak,401.0
Ola Aina,Ola Aina,422.0
Dejan Kulusevski,Dejan Kulusevski,492.0
Victor Lindelöf,Victor Lindelöf,376.0
James Tarkowski,James Tarkowski,236.0
Daichi Kamada,Daichi Kamada,205.0
Maxence Lacroix,Maxence Lacroix,650.0
Guido Rodríguez,Guido Rodríguez,588.0
Tosin Adarabioyo,Tosin Adarabioyo,187.0
Andrew Robertson,Andrew Robertson,335.0
Yves Bissouma,Yves Bissouma,482.0
Nathaniel Clyne,Nathaniel Clyne,196.0
Santiago Bueno,Santiago Bueno,564.0
Leif Davis,Leif Davis,267.0
Nathan Collins,Nathan Collins,88.0
Jacob Ramsey,Jacob Ramsey,53.0
Bryan Mbeumo,Bryan Mbeumo,99.0
Matz Sels,Matz Sels,443.0
Manor Solomon,Manor Solomon,502.0
Giovani Lo Celso,Giovani Lo Celso,493.0
Michail Antonio,Michail Antonio,512.0
Levi Colwill,Levi Colwill,162.0
Djed Spence,Djed Spence,504.0
Sven Botman,Sven Botman,393.0
Pedro Lomba Neto,Pedro Neto,560.0
Facundo Pellistri Rebollo,Facundo Pellistri,384.0
Carlos Alcaraz Durán,Carlos Alcaraz,450.0
Yunus Emre Konak,Yunus Konak,97.0
Bruno Borges Fernandes,Bruno Fernandes,366.0
Toti António Gomes,Toti,567.0
André Trindade da Costa Neto,André,642.0
João Victor Gomes da Silva,João Gomes,553.0
Renato Palma Veiga,Renato Veiga,184.0
Miguel Almirón Rejala,Miguel Almirón,391.0
Marc Cucurella Saseta,Marc Cucurella,163.0
Rúben Gato Alves Dias,Rúben Dias,361.0
Gabriel Martinelli Silva,Gabriel Martinelli,9.0
Nélson Cabral Semedo,Nélson Semedo,559.0
Sugawara Yukinari,Yukinari Sugawara,474.0
Ederson Santana de Moraes,Ederson,347.0
Darwin Núñez Ribeiro,Darwin Núñez,316.0
Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes,548.0
Diogo Dalot Teixeira,Diogo Dalot,369.0
Andreas Hoelgebaum Pereira,Andreas Pereira,240.0
Francisco Evanilson de Lima Barbosa,Evanilson,617.0
Mateus Gonçalo Espanha Fernandes,Mateus Fernandes,623.0
Rodrigo Muniz Carvalho,Rodrigo Muniz,251.0
Tomiyasu Takehiro,Takehiro Tomiyasu,22.0
Carlos Roberto Forbs Borges,Carlos Forbs,655.0
Bernardo Veiga de Carvalho e Silva,Bernardo Silva,342.0
Dominic Solanke-Mitchell,Dominic Solanke,82.0
David Raya Martin,David Raya,15.0
Igor Julio dos Santos de Paulo,Igor Julio,128.0
Emerson Palmieri dos Santos,Emerson,520.0
Diego Carlos Santos Silva,Diego Carlos,35.0
Matheus Santos Carneiro Da Cunha,Matheus Cunha,541.0
Marcus Myers-Harness,Marcus Harness,271.0
Hugo Bueno López,Hugo Bueno,549.0
João Pedro Junqueira de Jesus,João Pedro,129.0
José Malheiro de Sá,José Sá,554.0
Sávio 'Savinho' Moreira de Oliveira,Sávio,571.0
Pape Matar Sarr,Pape Sarr,499.0
Julián Araujo Zúñiga,Julián Araujo,592.0
Rodrigo Martins Gomes,Rodrigo Gomes,563.0
Omari Giraud-Hutchinson,Omari Hutchinson,274.0
Álex Moreno Lopera,Álex Moreno,26.0
Danilo dos Santos de Oliveira,Danilo,429.0
Richarlison de Andrade,Richarlison,497.0
Marc Guiu Paz,Marc Guiu,178.0
Pervis Estupiñán,Estupiñán,122.0
João Félix Sequeira,João Félix,621.0
Fábio Ferreira Vieira,Fábio Vieira,1.0
Benjamin White,Ben White,24.0
Moisés Caicedo Corozo,Moisés Caicedo,157.0
Endo Wataru,Wataru Endo,320.0
Gabriel dos Santos Magalhães,Gabriel,3.0
Chadi Riad Dnanou,Chadi Riad,195.0
Kepa Arrizabalaga,Kepa,152.0
Joelinton Cássio Apolinário de Lira,Joelinton,403.0
Jeremy Sarmiento Morante,Jeremy Sarmiento,141.0
Edson Álvarez Velázquez,Edson Álvarez,511.0
Bruno Guimarães Rodriguez Moura,Bruno Guimarães,394.0
Youssef Ramalho Chermiti,Youssef Chermiti,237.0
Rodrigo 'Rodri' Hernandez,Rodri,360.0
Matheus Luiz Nunes,Matheus Nunes,356.0
Norberto Murara Neto,Neto,73.0
Mitoma Kaoru,Kaoru Mitoma,136.0
Jefferson Lerma Solís,Jefferson Lerma,206.0
Bobby De Cordova-Reid,Bobby Reid,290.0
Alisson Ramses Becker,Alisson,310.0
Antony Matheus dos Santos,Antony,365.0
Daniel Castelo Podence,Daniel Podence,562.0
Mads Roerslev Rasmussen,Mads Roerslev,105.0
Gabriel Fernando de Jesus,Gabriel Jesus,2.0
Murillo Santiago Costa dos Santos,Murillo,436.0
Emiliano Buendía Stati,Emiliano Buendía,31.0
Jérémy Doku,Jéremy Doku,346.0
Joe Gomez,Joseph Gomez,322.0
Tomáš Souček,Tomas Soucek,530.0
Nikola Milenković,Nikola Milenkovic,573.0
Séamus Coleman,Seamus Coleman,221.0
Rayan Aït-Nouri,Rayan Ait Nouri,533.0
Cheick Doucouré,Cheick Oumar Doucoure,193.0
Mateo Kovačić,Mateo Kovacic,354.0
Marc Guéhi,Marc Guehi,200.0
Amad Diallo,Amad Diallo Traore,364.0
Kosta Nedeljković,Kosta Nedeljkovic,50.0
Diogo Teixeira da Silva,Diogo Jota,317.0
Ismaïla Sarr,Ismaila Sarr,585.0
Destiny Udogie,Iyenoma Destiny Udogie,505.0
Carlos Henrique Casimiro,Casemiro,368.0
Martin Ødegaard,Martin Odegaard,13.0
Fábio Freitas Gouveia Carvalho,Fabio Carvalho,314.0
Norberto Bercique Gomes Betuncal,Beto,218.0
Emiliano Martínez Romero,Emiliano Martinez,47.0
Saša Lukić,Sasa Lukic,249.0
Joško Gvardiol,Josko Gvardiol,350.0
Emile Smith Rowe,Emile Smith-Rowe,19.0
Son Heung-min,Son Heung-Min,503.0
Hamed Traorè,Hamed Junior Traore,67.0
Roméo Lavia,Romeo Lavia,174.0
Radu Drăgușin,Radu Dragusin,486.0
Vladimír Coufal,Vladimir Coufal,516.0
Tino Livramento,Valentino Livramento,409.0
Lucas Tolentino Coelho de Lima,Lucas Paquetá,527.0
Hwang Hee-chan,Hee-Chan Hwang,550.0
Jorge Luiz Frello Filho,Jorginho,7.0
Fábio Silva,Fabio Silva,545.0
Łukasz Fabiański,Lukasz Fabianski,521.0
Boubakary Soumaré,Boubakary Soumare,285.0
Joe Ayodele-Aribo,Joe Ayodele-Aribo,452.0
Yehor Yarmoliuk,Yehor Yarmolyuk,111.0
Lesley Ugochukwu,Chimuanya Ugochukwu,188.0
Jesper Lindstrøm,Jesper Lindstrom,577.0
Will Smallbone,William Smallbone,471.0
Felipe Rodrigues da Silva,Morato,653.0
Matty Cash,Matthew Cash,32.0
João Pedro Ferreira Silva,Jota Silva,596.0
Jaden Philogene,Jaden Philogene-Bidace,569.0
Ibrahim Sangaré,Ibrahim Sangare,442.0
Sam Szmodics,Sammie Szmodics,611.0
Saša Kalajdžić,Sasa Kalajdzic,555.0
Adama Traoré Diarra,Adama Traoré,239.0
Andreas Pereira,Andreas Pereira,240.0
Benjamin Chilwell,Ben Chilwell,160.0
Ben White,Ben White,24.0
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,342.0
Bobby Reid,Bobby Reid,290.0
Bobby Decordova-Reid,Bobby Reid,290.0
Bruno Miguel Borges Fernandes,Bruno Fernandes,366.0
Carlos Alcaraz,Carlos Alcaraz,450.0
José Diogo Dalot Teixeira,Diogo Dalot,369.0
Diogo Jota,Diogo Jota,317.0
Dominic Solanke,Dominic Solanke,82.0
Edward Nketiah,Eddie Nketiah,11.0
Emiliano Martínez,Emiliano Martinez,47.0
Fabio Carvalho,Fabio Carvalho,314.0
Gabriel Magalhães,Gabriel,3.0
Gabriel Teodoro Martinelli Silva,Gabriel Martinelli,9.0
Hee-Chan Hwang,Hee-Chan Hwang,550.0
Jeremy Sarmiento,Jeremy Sarmiento,141.0
Joseph Willock,Joe Willock,420.0
Joseph Gomez,Joseph Gomez,322.0
Pelenda Joshua Dasilva,Josh Dasilva,90.0
Kaoru Mitoma,Kaoru Mitoma,136.0
Luis Sinisterra Lucumí,Luis Sinisterra,80.0
Lukasz Fabianski,Lukasz Fabianski,521.0
Marc Cucurella,Marc Cucurella,163.0
Matthew Cash,Matthew Cash,32.0
Miguel Almirón,Miguel Almirón,391.0
Moisés Caicedo,Moisés Caicedo,157.0
Olu Aina,Ola Aina,422.0
Rayan Ait Nouri,Rayan Ait Nouri,533.0
Rodrigo Hernandez,Rodri,360.0
Rúben Santos Gato Alves Dias,Rúben Dias,361.0
Solomon March,Solly March,132.0
Heung-Min Son,Son Heung-Min,503.0
Takehiro Tomiyasu,Takehiro Tomiyasu,22.0
Wataru Endo,Wataru Endo,320.0
William Smallbone,William Smallbone,471.0
Yegor Yarmolyuk,Yehor Yarmolyuk,111.0
Yegor Yarmoliuk,Yehor Yarmolyuk,111.0
Alexandre Moreno Lopera,Álex Moreno,26.0
Maximillian Aarons,Max Aarons,59.0
Jefferson Lerma,Jefferson Lerma,206.0
Emiliano Buendía,Emiliano Buendía,31.0
Ben Brereton,Ben Brereton Díaz,584.0
Alejandro Garnacho Ferreyra,Alejandro Garnacho,372.0
Emiliano Martinez,Emiliano Martinez,47.0
Jaden Philogene-Bidace,Jaden Philogene-Bidace,569.0
Fabio Silva,Fabio Silva,545.0
Mateo Kovacic,Mateo Kovacic,354.0
Radu Dragusin,Radu Dragusin,486.0
Romeo Lavia,Romeo Lavia,174.0
Sasa Kalajdzic,Sasa Kalajdzic,555.0
Sasa Lukic,Sasa Lukic,249.0
Seamus Coleman,Seamus Coleman,221.0
Tomas Soucek,Tomas Soucek,530.0
Vladimir Coufal,Vladimir Coufal,516.0
Ismaila Sarr,Ismaila Sarr,585.0
Joe Aribo,Joe Ayodele-Aribo,452.0
Karl Hein,,5.0
Kieran Tierney,,21.0
Mikel Merino,Mikel Merino,633.0
Salah-Eddine Oulad M'hand,,638.0
Tommy Setford,,639.0
Maldini Kacurri,,657.0
Ayden Heaven,,658.0
Ismeal Kabia,,659.0
Josh Nichols,,662.0
Nathan Butler-Oyedeji,,665.0
Enzo Barrenechea,,30.0
Leander Dendoncker,,33.0
Joe Gauci,,39.0
Kortney Hause,,40.0
Samuel Iling-Junior,,41.0
Kaine Kesler-Hayden,,43.0
Filip Marschall,,46.0
Viljami Sinisalo,,55.0
Lino da Cruz Sousa,,56.0
Sil Swinkels,,640.0
Oliwier Zych,,641.0
Kadan Young,,656.0
Ben Broggio,,679.0
Jamaldeen Jimoh,,710.0
Romain Faivre,,66.0
Alex Paulsen,,75.0
Will Dennis,,599.0
Max Kinsey,,680.0
Ben Winterburn,Ben Winterburn,687.0
Archie Harris,,702.0
Remy Rees-Dottin,,707.0
Ethan Brierley,,87.0
Kim Ji-soo,Kim Ji-Soo,96.0
Myles Peart-Harris,,103.0
Igor Thiago Nascimento Rodrigues,Thiago,107.0
Ivan Toney,,108.0
Hákon Valdimarsson,Hákon Valdimarsson,109.0
Mathias Jorgensen,,112.0
Gustavo Nunes Fernandes Gomes,,634.0
Jayden Meghoma,Jayden Meghoma,649.0
Tony Yogane,,661.0
Paris Maghoma,Paris Maghoma,674.0
Benjamin Arthur,,705.0
Benicio Baker-Boaitey,,114.0
Valentín Barco,,116.0
Amario Cozier-Duberry,,118.0
Ibrahim Osman,,127.0
Kacper Kozłowski,,130.0
Tariq Lamptey,Tariq Lamptey,131.0
Adrian Mazilu,,133.0
Jakub Moder,Jakub Moder,137.0
Mark O’Mahony,,138.0
Odeluga Offiah,,139.0
Cameron Peupion,,140.0
Deniz Undav,,143.0
Brajan Gruda,Brajan Gruda,595.0
Andrew Moran,,601.0
Carl Rushworth,,615.0
Matt O'Riley,Matt O'Riley,629.0
Imari Samuels,,663.0
Killian Cahill,,668.0
Ruairi McConville,,681.0
Jacob Slater,,685.0
Andrey Nascimento dos Santos,,150.0
Ângelo Gabriel Borges Damaceno,,151.0
Benoît Badiashile,Benoit Badiashile Mukinayi,153.0
Lucas Bergström,,154.0
Marcus Bettinelli,,155.0
Cesare Casadei,,158.0
David Datro Fofana,,164.0
Deivid Washington de Souza Eugênio,,165.0
Alfie Gilchrist,,170.0
Omari Kellyman,,173.0
Romelu Lukaku Bolingoli,,175.0
Malang Sarr,,176.0
Đorđe Petrović,,183.0
Caleb Wiley,,575.0
Filip Jørgensen,Filip Jorgensen,581.0
Samuel Rak-Sakyi,,695.0
Tyrique George,,696.0
Josh Acheampong,Josh Acheampong,697.0
Trevoh Chalobah,Trevoh Chalobah,159.0
Malcolm Ebiowei,,197.0
Rob Holding,,202.0
Matheus França de Oliveira,,208.0
Remi Matthews,,209.0
David Ozoh,,212.0
Franco Umeh-Chibueze,,644.0
Justin Devenny,Justin Devenny,645.0
Asher Agbinone,Asher Agbinone,646.0
Kaden Rodney,,647.0
Caleb Kporha,Caleb Kporha,666.0
Zach Marsh,,676.0
Armando Broja,Armando Broja,156.0
João Neves Virgínia,,227.0
Jenson Metcalfe,,614.0
Asmir Begovic,,624.0
Callum Bates,,678.0
Steven Benda,,242.0
