fpl,understat,fpl_2024-25
Timothy Castagne,Timothy Castagne,244.0
Luke Harris,,246.0
Kevin Mbabu,,250.0
Carlos Vinícius Alves Morais,Carlos Vinicius,258.0
Ryan Sessegnon,Ryan Sessegnon,579.0
Jorge Cuenca Barreno,Jorge Cuenca,586.0
Josh King,Joshua King,604.0
Martial Godo,Martial Godo,605.0
Samuel Amissah,,690.0
Elkan Baggott,,261.0
Nathan Broadhead,Nathan Broadhead,262.0
Cameron Burgess,Cameron Burgess,263.0
Harry Clarke,Harry Clarke,266.0
Cameron Humphreys,,273.0
Freddie Ladapo,,276.0
Corrie Ndaba,,279.0
Cieran Slicker,,280.0
Conor Townsend,Conor Townsend,583.0
Tom Cannon,,286.0
Patson Daka,Patson Daka,289.0
Michael Golding,,292.0
Daniel Iversen,,294.0
Wanya Marçal-Madivádua,,297.0
Ricardo Barbosa Pereira,Ricardo Pereira,302.0
Harry Souttar,,303.0
Jakub Stolarczyk,Jakub Stolarczyk,304.0
Luke Thomas,Luke Thomas,305.0
Danny Ward,Danny Ward,308.0
Will Alves,Will Alves,606.0
Ben Nelson,,616.0
Henry Cartwright,,694.0
Thomas Wilson-Brown,,708.0
Stefan Bajčetić Maquieira,,312.0
Bobby Clark,,315.0
James McConnell,,330.0
Tyler Morton,,331.0
Nathaniel Phillips,,332.0
Rhys Williams,,334.0
Vítezslav Jaros,Vítezslav Jaros,660.0
Harvey Davies,,669.0
Treymaurice Nyoni,,688.0
Amara Nallo,,692.0
Jayden Danns,,709.0
Oscar Bobb,,343.0
Scott Carson,,344.0
João Cavaco Cancelo,,353.0
Stefan Ortega Moreno,Stefan Ortega Moreno,358.0
Nico O'Reilly,,607.0
Issa Kaboré,,626.0
Jacob Wright,,671.0
Jahmai Simpson-Pusey,Jahmai Simpson-Pusey,672.0
Josh Wilson-Esbrand,,675.0
Divin Mubama,,698.0
Max Alleyne,,703.0
Spike Brits,,704.0
Altay Bayindir,,367.0
Hannibal Mejbri,,373.0
Tom Heaton,,374.0
Tyrell Malacia,Tyrell Malacia,379.0
Leny Yoro,Leny Yoro,572.0
Ethan Wheatley,,648.0
Jack Fletcher,,667.0
Harry Amass,,670.0
Jayce Fitzgerald,,673.0
Godwill Kukonki,,691.0
Alex Murphy,,390.0
Martin Dúbravka,Martin Dubravka,396.0
Isaac Hayden,,400.0
Garang Kuol,,406.0
Jamaal Lascelles,,407.0
Jamal Lewis,,408.0
Lewis Miley,Lewis Miley,411.0
Odysseas Vlachodimos,,412.0
John Ruddy,,414.0
Joe White,,419.0
Miodrag Pivaš,,574.0
Josh Bowler,,426.0
Carlos Miguel dos Santos Pereira,,427.0
Eric da Silva Moreira,Eric da Silva Moreira,428.0
Emmanuel Dennis,,430.0
Alex Mighten,,435.0
Omar Richards,,438.0
Lewis O'Brien,,439.0
Andrew Omobamidele,,440.0
Jonathan Panzo,,441.0
Hwang Ui-jo,,446.0
Zach Abbott,,706.0
Gavin Bazunu,,454.0
Armel Bella-Kotchap,,456.0
James Bree,James Bree,457.0
Shea Charles,,458.0
Ronnie Edwards,Ronnie Edwards,460.0
Kamaldeen Sulemana,Kamaldeen Sulemana,462.0
Juan Larios López,,464.0
Mateusz Lis,,465.0
Joe Lumley,Joe Lumley,466.0
Ryan Manning,Ryan Manning,467.0
Sékou Mara,,468.0
Paul Onuachu,Paul Onuachu,470.0
Nathan Wood-Gordon,Nathan Wood,477.0
Joseph O'Brien-Whitmarsh,,693.0
Ashley Phillips,,478.0
Brandon Austin,,479.0
Bryan Gil Salvatierra,,483.0
Alfie Devine,,485.0
Emerson Leite de Souza Junior,,487.0
Fraser Forster,Fraser Forster,488.0
Sergio Reguilón,Sergio Reguilón,496.0
Dane Scarlett,,500.0
Alejo Véliz,,507.0
Alfie Whiteman,,510.0
Will Lankshear,Will Lankshear,609.0
Callum Olusesi,,683.0
Malachi Hardy,,684.0
Luca Williams-Barnett,,689.0
Alfie Dorrington,Alfie Dorrington,699.0
Maeson King,,700.0
George Earthy,,519.0
Luis Guilherme Lira dos Santos,Luis Guilherme,526.0
Nayef Aguerd,,529.0
Kaelan Casey,Kaelan Casey,643.0
Ollie Scarles,Oliver Scarles,677.0
Ezra Mayers,,686.0
Lewis Orford,,701.0
Boubacar Traoré,,534.0
Daniel Bentley,,536.0
Francisco Jorge Tomás Oliveira,Chiquinho,537.0
Tawanda Chirewa,,538.0
Leon Chiwome,,539.0
Luke Cundle,,540.0
Nathan Fraser,,546.0
Enso González,,547.0
Joe Hodge,,551.0
Ki-Jana Hoever,,552.0
Tom King,,556.0
Pedro Cardoso de Lima,,561.0
Bastien Meupiyou,,637.0
Alfie Pond,Alfie Pond,664.0
Tom Edozie,,682.0
Matai Akinmboni,,712.0
Julio Soler,,713.0
Daniel Adu-Adjei,,722.0
Dominic Sadi,,723.0
Diego Gómez,,714.0
Martin Sherif,,724.0
Ben Godfrey,,715.0
Wayne Hennessey,,721.0
Welington Damascena Santos,,718.0
Joachim Kayi-Sanda,,719.0
Antonín Kinsky,,716.0
Min-Hyeok Yang,,717.0
Wes Okoduwa,,711.0
Emmanuel Agbadou,,720.0
