fpl,understat,fpl_2024-25,opta_id
Nathan Aké,Nathan Aké,341.0,126184
Reece James,Reece James,172.0,225796
Josh Dasilva,Josh Dasilva,90.0,183656
Sander Berge,Sander Berge,622.0,207189
Mark Flekken,Mark Flekken,91.0,118342
Pedro Porro,Pedro Porro,495.0,441164
Ryan Trevitt,Ryan Trevitt,602.0,591357
Lucas Digne,Lucas Digne,36.0,101188
Axel Disasi,Axel Disasi,167.0,220362
Sean Longstaff,Sean Longstaff,410.0,180135
Jean-Philippe Mateta,Jean-Philippe Mateta,207.0,231747
Rasmus Højlund,Rasmus Højlund,375.0,497894
Pablo Sarabia,Pablo Sarabia,565.0,88484
Nicolás Domínguez,Nicolás Domínguez,431.0,250199
Jack Clarke,Jack Clarke,631.0,443261
Oliver Skipp,Oliver Skipp,501.0,209042
Noussair Mazraoui,Noussair Mazraoui,594.0,230001
Mahmoud Dahoud,Mahmoud Dahoud,119.0,168090
Alex Scott,Alex Scott,77.0,503139
Christopher Nkunku,Christopher Nkunku,181.0,213198
Axel Tuanzebe,Axel Tuanzebe,282.0,180804
Kasey McAteer,Kasey McAteer,299.0,461587
Jesurun Rak-Sakyi,Jesurun Rak-Sakyi,213.0,450542
Orel Mangala,Orel Mangala,651.0,179519
Jonny Evans,Jonny Evans,371.0,37642
Ollie Watkins,Ollie Watkins,58.0,178301
Ryan Christie,Ryan Christie,63.0,158499
Michael Keane,Michael Keane,228.0,106611
Morgan Gibbs-White,Morgan Gibbs-White,433.0,222531
Harry Wilson,Harry Wilson,259.0,153682
Jason Steele,Jason Steele,142.0,49262
Virgil van Dijk,Virgil van Dijk,339.0,97032
Roman Dixon,Roman Dixon,627.0,496178
Matt Turner,Matt Turner,445.0,224068
Federico Chiesa,Federico Chiesa,636.0,223541
Vitaly Janelt,Vitaly Janelt,94.0,204580
Lamare Bogarde,Lamare Bogarde,598.0,515597
Ben Mee,Ben Mee,100.0,51927
Jordan Pickford,Jordan Pickford,235.0,111234
Dwight McNeil,Dwight McNeil,230.0,433154
Joel Ward,Joel Ward,215.0,55494
Kenny Tete,Kenny Tete,257.0,167074
Jack Taylor,Jack Taylor,281.0,231899
Conor Gallagher,Conor Gallagher,169.0,232787
Ramón Sosa,Ramón Sosa,620.0,502222
Daniel Muñoz,Daniel Muñoz,211.0,247348
Kyle Walker-Peters,Kyle Walker-Peters,476.0,158534
Mohamed Salah,Mohamed Salah,328.0,118748
Ryan Fraser,Ryan Fraser,397.0,90105
Billy Gilmour,Billy Gilmour,124.0,243568
Bilal El Khannouss,Bilal El Khannouss,635.0,513527
Rico Henry,Rico Henry,92.0,194010
Ethan Pinnock,Ethan Pinnock,104.0,231065
Aaron Wan-Bissaka,Aaron Wan-Bissaka,388.0,214590
Jannik Vestergaard,Jannik Vestergaard,307.0,93100
Harrison Armstrong,Harrison Armstrong,603.0,609873
Jacob Greaves,Jacob Greaves,270.0,449429
Mathias Jensen,Mathias Jensen,95.0,207283
Jhon Durán,Jhon Durán,38.0,476344
Jarrad Branthwaite,Jarrad Branthwaite,219.0,480455
Ross Barkley,Ross Barkley,29.0,88894
Ross Stewart,Ross Stewart,473.0,230348
Declan Rice,Declan Rice,16.0,204480
Mikey Moore,Mikey Moore,610.0,499721
Jake O'Brien,Jake O'Brien,582.0,512462
Kai Havertz,Kai Havertz,4.0,219847
Ryan Gravenberch,Ryan Gravenberch,323.0,441266
Jean-Clair Todibo,Jean-Clair Todibo,591.0,462116
Dan Burn,Dan Burn,395.0,78916
Simon Adingra,Simon Adingra,113.0,535818
Alex Iwobi,Alex Iwobi,247.0,153133
Jan Bednarek,Jan Bednarek,455.0,171771
Caleb Okoli,Caleb Okoli,301.0,473341
Archie Gray,Archie Gray,489.0,547701
Ilkay Gündogan,Ilkay Gündogan,625.0,59859
Nathan Patterson,Nathan Patterson,234.0,243571
Jack Grealish,Jack Grealish,349.0,114283
Adam Wharton,Adam Wharton,216.0,496221
Morgan Rogers,Morgan Rogers,54.0,244850
Maxwel Cornet,Maxwel Cornet,515.0,149519
Carlos Baleba,Carlos Baleba,115.0,535301
Carlos Soler,Carlos Soler,654.0,224860
Max Aarons,Max Aarons,59.0,232980
Christian Nørgaard,Christian Nørgaard,101.0,128295
Harvey Barnes,Harvey Barnes,392.0,201666
Adam Webster,Adam Webster,147.0,110735
Arijanet Muric,Arijanet Muric,568.0,232917
Cristian Romero,Cristian Romero,498.0,221632
Cody Gakpo,Cody Gakpo,321.0,243298
Noni Madueke,Noni Madueke,177.0,248857
Brennan Johnson,Brennan Johnson,491.0,242898
Conor Chaplin,Conor Chaplin,265.0,196411
Jack Stephens,Jack Stephens,472.0,88900
Jeffrey Schlupp,Jeffrey Schlupp,214.0,86417
Jordan Ayew,Jordan Ayew,192.0,80146
Manuel Ugarte,Manuel Ugarte,652.0,232112
Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,44.0,199798
Andy Irving,Andy Irving,576.0,229384
Facundo Buonanotte,Facundo Buonanotte,117.0,536916
Lisandro Martínez,Lisandro Martínez,380.0,221820
Ibrahima Konaté,Ibrahima Konaté,326.0,204716
Chris Mepham,Chris Mepham,72.0,223911
Jarell Quansah,Jarell Quansah,333.0,441428
Adam Smith,Adam Smith,81.0,54469
Konstantinos Mavropanos,Konstantinos Mavropanos,528.0,233963
Antoine Semenyo,Antoine Semenyo,78.0,437730
Leandro Trossard,Leandro Trossard,23.0,116216
Pascal Groß,Pascal Groß,125.0,60307
Mason Holgate,Mason Holgate,225.0,194164
Danny Welbeck,Danny Welbeck,148.0,50175
Alejandro Garnacho,Alejandro Garnacho,372.0,493105
Ryan Yates,Ryan Yates,449.0,204968
Harry Toffolo,Harry Toffolo,444.0,114241
James Maddison,James Maddison,494.0,172780
Matt Targett,Matt Targett,416.0,169359
Conor Coady,Conor Coady,288.0,94147
Christian Eriksen,Christian Eriksen,370.0,80607
Dominic Calvert-Lewin,Dominic Calvert-Lewin,220.0,177815
James Milner,James Milner,134.0,15157
Dean Huijsen,Dean Huijsen,580.0,554605
Luke Woolfenden,Luke Woolfenden,284.0,220583
Ashley Young,Ashley Young,238.0,18892
Alphonse Areola,Alphonse Areola,513.0,84182
Lloyd Kelly,Lloyd Kelly,404.0,235530
Samuel Amo-Ameyaw,Samuel Amo-Ameyaw,451.0,499724
Idrissa Gueye,Idrissa Gueye,222.0,80801
Robin Olsen,Robin Olsen,51.0,111782
Yasin Ayari,Yasin Ayari,600.0,509416
Chiedozie Ogbene,Chiedozie Ogbene,632.0,229164
Kalvin Phillips,Kalvin Phillips,359.0,155405
Jan Paul van Hecke,Jan Paul van Hecke,144.0,469142
George Edmundson,George Edmundson,269.0,214964
Rodrigo Bentancur,Rodrigo Bentancur,480.0,202993
