fpl,understat,fpl_2024-25,opta_id
Joe Aribo,Joe Ayodele-Aribo,452.0,193204
Karl Hein,,5.0,463748
Kieran Tierney,Kieran Tierney,21.0,192895
Mikel Merino,Mikel Merino,633.0,195384
Salah-Eddine Oulad M'hand,,638.0,498046
Tommy Setford,,639.0,551221
Maldini Kacurri,,657.0,588793
Ayden Heaven,,658.0,606745
Ismeal Kabia,,659.0,588796
Josh Nichols,,662.0,499167
Nathan Butler-Oyedeji,,665.0,461025
Enzo Barrenechea,,30.0,491287
Leander Dendoncker,,33.0,151589
Joe Gauci,,39.0,462492
Kortney Hause,,40.0,123354
Samuel Iling-Junior,,41.0,469247
Kaine Kesler-Hayden,,43.0,465390
Filip Marschall,,46.0,462381
Viljami Sinisalo,,55.0,248164
Lino da Cruz Sousa,,56.0,514315
Sil Swinkels,,640.0,514287
Oliwier Zych,,641.0,516159
Kadan Young,,656.0,537403
Ben Broggio,,679.0,577731
Jamaldeen Jimoh,,710.0,559962
Romain Faivre,,66.0,441240
Alex Paulsen,,75.0,495145
Will Dennis,,599.0,444172
Max Kinsey,,680.0,496683
Ben Winterburn,Ben Winterburn,687.0,606775
Archie Harris,,702.0,632822
Remy Rees-Dottin,Remy Rees-Dottin,707.0,606774
Ethan Brierley,,87.0,494041
Kim Ji-soo,Kim Ji-Soo,96.0,570241
Myles Peart-Harris,,103.0,450539
Igor Thiago Nascimento Rodrigues,Thiago,107.0,502500
Ivan Toney,,108.0,144485
Hákon Valdimarsson,Hákon Valdimarsson,109.0,507433
Mathias Jorgensen,,112.0,48760
Gustavo Nunes Fernandes Gomes,,634.0,626464
Jayden Meghoma,Jayden Meghoma,649.0,499717
Tony Yogane,,661.0,592662
Paris Maghoma,Paris Maghoma,674.0,220695
Benjamin Arthur,,705.0,622536
Benicio Baker-Boaitey,,114.0,475480
Valentín Barco,,116.0,543158
Amario Cozier-Duberry,,118.0,519324
Ibrahim Osman,,127.0,612855
Kacper Kozłowski,,130.0,484658
Tariq Lamptey,Tariq Lamptey,131.0,232792
Adrian Mazilu,,133.0,550141
Jakub Moder,Jakub Moder,137.0,243505
Mark O’Mahony,,138.0,574402
Odeluga Offiah,,139.0,445548
Cameron Peupion,,140.0,491598
Deniz Undav,,143.0,450434
Brajan Gruda,Brajan Gruda,595.0,513433
Andrew Moran,,601.0,513834
Carl Rushworth,,615.0,472739
Matt O'Riley,Matt O'Riley,629.0,219249
Imari Samuels,,663.0,447720
Killian Cahill,,668.0,565858
Ruairi McConville,,681.0,539721
Jacob Slater,,685.0,589100
Andrey Nascimento dos Santos,,150.0,532605
Ângelo Gabriel Borges Damaceno,,151.0,518620
Benoît Badiashile,Benoit Badiashile Mukinayi,153.0,242880
Lucas Bergström,,154.0,482158
Marcus Bettinelli,,155.0,122074
Cesare Casadei,,158.0,505187
David Datro Fofana,,164.0,520295
Deivid Washington de Souza Eugênio,,165.0,617054
Alfie Gilchrist,,170.0,514280
Omari Kellyman,,173.0,549068
Romelu Lukaku Bolingoli,,175.0,66749
Malang Sarr,,176.0,204727
Đorđe Petrović,,183.0,457569
Caleb Wiley,,575.0,488464
Filip Jørgensen,Filip Jorgensen,581.0,508479
Samuel Rak-Sakyi,,695.0,547692
Tyrique George,Tyrique George,696.0,550615
Josh Acheampong,Josh Acheampong,697.0,577016
Trevoh Chalobah,Trevoh Chalobah,159.0,180736
Malcolm Ebiowei,,197.0,450535
Rob Holding,,202.0,156074
Matheus França de Oliveira,,208.0,536694
Remi Matthews,,209.0,169593
David Ozoh,,212.0,531989
Franco Umeh-Chibueze,,644.0,574398
Justin Devenny,Justin Devenny,645.0,489706
Asher Agbinone,Asher Agbinone,646.0,579075
Kaden Rodney,,647.0,530318
Caleb Kporha,Caleb Kporha,666.0,590012
Zach Marsh,,676.0,576980
Armando Broja,Armando Broja,156.0,440323
João Neves Virgínia,,227.0,222627
Jenson Metcalfe,,614.0,491557
Asmir Begovic,,624.0,40349
Callum Bates,,678.0,547801
Steven Benda,,242.0,428971
Timothy Castagne,Timothy Castagne,244.0,166477
Luke Harris,,246.0,515024
Kevin Mbabu,,250.0,120721
Carlos Vinícius Alves Morais,Carlos Vinicius,258.0,245824
Ryan Sessegnon,Ryan Sessegnon,579.0,184349
Jorge Cuenca Barreno,Jorge Cuenca,586.0,246301
Josh King,Joshua King,604.0,577725
Martial Godo,Martial Godo,605.0,573062
Samuel Amissah,,690.0,591385
Elkan Baggott,,261.0,517178
Nathan Broadhead,Nathan Broadhead,262.0,173818
Cameron Burgess,Cameron Burgess,263.0,122411
Harry Clarke,Harry Clarke,266.0,232228
Cameron Humphreys,,273.0,524180
Freddie Ladapo,,276.0,94926
Corrie Ndaba,,279.0,246265
Cieran Slicker,,280.0,434044
Conor Townsend,Conor Townsend,583.0,108053
Tom Cannon,,286.0,461416
Patson Daka,Patson Daka,289.0,245419
Michael Golding,,292.0,549640
Daniel Iversen,,294.0,207270
Wanya Marçal-Madivádua,,297.0,461584
Ricardo Barbosa Pereira,Ricardo Pereira,302.0,111931
Harry Souttar,,303.0,194190
Jakub Stolarczyk,Jakub Stolarczyk,304.0,436680
Luke Thomas,Luke Thomas,305.0,244619
Danny Ward,Danny Ward,308.0,95463
Will Alves,Will Alves,606.0,532534
Ben Nelson,,616.0,501770
Henry Cartwright,,694.0,531997
Thomas Wilson-Brown,,708.0,532535
Stefan Bajčetić Maquieira,,312.0,535928
Bobby Clark,,315.0,491970
James McConnell,,330.0,491501
Tyler Morton,,331.0,440148
Nathaniel Phillips,,332.0,197464
Rhys Williams,,334.0,219937
Vítezslav Jaros,Vítezslav Jaros,660.0,432987
Harvey Davies,,669.0,464353
Treymaurice Nyoni,,688.0,591386
Amara Nallo,,692.0,611926
Jayden Danns,,709.0,500058
Oscar Bobb,,343.0,477555
Scott Carson,,344.0,17601
João Cavaco Cancelo,,353.0,121145
Stefan Ortega Moreno,Stefan Ortega Moreno,358.0,88248
Nico O'Reilly,Nico O'Reilly,607.0,472769
Issa Kaboré,,626.0,476369
Jacob Wright,,671.0,516250
Jahmai Simpson-Pusey,Jahmai Simpson-Pusey,672.0,554194
Josh Wilson-Esbrand,,675.0,447880
Divin Mubama,Divin Mubama,698.0,487837
Max Alleyne,,703.0,494307
Spike Brits,,704.0,613120
Altay Bayindir,,367.0,451302
Hannibal Mejbri,,373.0,465527
Tom Heaton,,374.0,21205
Tyrell Malacia,Tyrell Malacia,379.0,222690
Leny Yoro,Leny Yoro,572.0,550864
Ethan Wheatley,,648.0,575034
Jack Fletcher,,667.0,547037
Harry Amass,,670.0,577974
Jayce Fitzgerald,,673.0,556639
Godwill Kukonki,,691.0,576637
Alex Murphy,,390.0,545477
Martin Dúbravka,Martin Dubravka,396.0,67089
Isaac Hayden,,400.0,153127
Garang Kuol,,406.0,564510
Jamaal Lascelles,,407.0,101148
Jamal Lewis,,408.0,194799
Lewis Miley,Lewis Miley,411.0,547719
Odysseas Vlachodimos,,412.0,111452
John Ruddy,,414.0,19236
Joe White,,419.0,461484
Miodrag Pivaš,,574.0,578512
Josh Bowler,,426.0,245830
Carlos Miguel dos Santos Pereira,,427.0,475123
Eric da Silva Moreira,Eric da Silva Moreira,428.0,569014
Emmanuel Dennis,,430.0,230251
Alex Mighten,,435.0,244930
Omar Richards,,438.0,204822
Lewis O'Brien,,439.0,243345
Andrew Omobamidele,,440.0,466404
Jonathan Panzo,,441.0,209035
Hwang Ui-jo,,446.0,201440
Zach Abbott,,706.0,549067
Gavin Bazunu,,454.0,456350
Armel Bella-Kotchap,,456.0,477386
James Bree,James Bree,457.0,184386
Shea Charles,,458.0,463210
Ronnie Edwards,Ronnie Edwards,460.0,500926
Kamaldeen Sulemana,Kamaldeen Sulemana,462.0,504783
Juan Larios López,,464.0,515571
Mateusz Lis,,465.0,200428
Joe Lumley,Joe Lumley,466.0,167888
Ryan Manning,Ryan Manning,467.0,204863
Sékou Mara,,468.0,476888
Paul Onuachu,Paul Onuachu,470.0,147611
Nathan Wood-Gordon,Nathan Wood,477.0,244845
Joseph O'Brien-Whitmarsh,,693.0,545508
Ashley Phillips,,478.0,548308
Brandon Austin,Brandon Austin,479.0,214572
Bryan Gil Salvatierra,,483.0,436234
Alfie Devine,,485.0,496179
Emerson Leite de Souza Junior,,487.0,241157
Fraser Forster,Fraser Forster,488.0,40383
Sergio Reguilón,Sergio Reguilón,496.0,199249
Dane Scarlett,,500.0,490145
Alejo Véliz,,507.0,536908
Alfie Whiteman,,510.0,175941
Will Lankshear,Will Lankshear,609.0,552427
Callum Olusesi,,683.0,499726
Malachi Hardy,,684.0,611920
Luca Williams-Barnett,,689.0,611917
Alfie Dorrington,Alfie Dorrington,699.0,519321
Maeson King,,700.0,592736
George Earthy,,519.0,490885
Luis Guilherme Lira dos Santos,Luis Guilherme,526.0,577114
Nayef Aguerd,,529.0,210494
Kaelan Casey,Kaelan Casey,643.0,518438
Ollie Scarles,Oliver Scarles,677.0,536109
Ezra Mayers,,686.0,602903
Lewis Orford,Lewis Orford,701.0,518442
Boubacar Traoré,,534.0,476502
Daniel Bentley,,536.0,79602
Francisco Jorge Tomás Oliveira,Chiquinho,537.0,510363
Tawanda Chirewa,,538.0,497606
Leon Chiwome,,539.0,589507
Luke Cundle,,540.0,245923
Nathan Fraser,,546.0,531363
Enso González,,547.0,593001
Joe Hodge,,551.0,240299
Ki-Jana Hoever,,552.0,441271
Tom King,,556.0,138001
Pedro Cardoso de Lima,Pedro Lima,561.0,641221
Bastien Meupiyou,,637.0,560248
Alfie Pond,Alfie Pond,664.0,517179
Tom Edozie,,682.0,596054
Matai Akinmboni,,712.0,541462
Julio Soler,,713.0,575901
Daniel Adu-Adjei,,722.0,590760
Dominic Sadi,,723.0,550596
Diego Gómez,Diego Gómez,714.0,514254
Martin Sherif,,724.0,536241
Ben Godfrey,Ben Godfrey,715.0,198826
Wayne Hennessey,,721.0,20066
Welington Damascena Santos,,718.0,500016
Joachim Kayi-Sanda,,719.0,620408
Antonín Kinsky,Antonín Kinsky,716.0,485055
Min-Hyeok Yang,,717.0,623095
Wes Okoduwa,,711.0,613467
Emmanuel Agbadou,Emmanuel Agbadou,720.0,516939
Donyell Malen,,725.0,204646
Andrés García,,731.0,606798
Callan McKenna,,727.0,568791
Zain Silcott-Duberry,,728.0,530121
Romain Esse,,730.0,606921
Woyo Coulibaly,,726.0,488439
Abdukodir Khusanov,,732.0,578153
Damola Ajayi,,729.0,574799
