id,understat_id,date,home,away
3959,26761,2024-12-14,Nottingham Forest,Aston Villa
3960,26762,2024-12-21,Aston Villa,Manchester City
3961,26763,2024-12-22,Fulham,Southampton
3962,26764,2024-12-22,Everton,Chelsea
3963,26765,2024-12-21,Crystal Palace,Arsenal
3964,26766,2024-12-21,Brentford,Nottingham Forest
3965,26767,2024-12-21,West Ham,Brighton
3966,26768,2024-12-22,Tottenham,Liverpool
3967,26769,2024-12-22,Manchester United,Bournemouth
3968,26770,2024-12-22,Leicester,Wolverhampton Wanderers
3969,26771,2024-12-21,Ipswich,Newcastle United
3970,26772,2024-12-26,Bournemouth,Crystal Palace
3971,26773,2024-12-27,Arsenal,Ipswich
3972,26774,2024-12-27,Brighton,Brentford
3973,26775,2024-12-26,Chelsea,Fulham
3974,26776,2024-12-26,Liverpool,Leicester
3975,26777,2024-12-26,Manchester City,Everton
3976,26778,2024-12-26,Newcastle United,Aston Villa
3977,26779,2024-12-26,Nottingham Forest,Tottenham
3978,26780,2024-12-26,Southampton,West Ham
3979,26781,2024-12-26,Wolverhampton Wanderers,Manchester United
3980,26782,2024-12-30,Aston Villa,Brighton
3981,26783,2025-01-01,Brentford,Arsenal
3982,26784,2024-12-29,Crystal Palace,Southampton
3983,26785,2024-12-29,Everton,Nottingham Forest
3984,26786,2024-12-29,Fulham,Bournemouth
3985,26787,2024-12-30,Ipswich,Chelsea
3986,26788,2024-12-29,Leicester,Manchester City
3987,26789,2024-12-30,Manchester United,Newcastle United
3988,26790,2024-12-29,Tottenham,Wolverhampton Wanderers
3989,26791,2024-12-29,West Ham,Liverpool
3990,26792,2025-01-04,Bournemouth,Everton
3991,26793,2025-01-04,Aston Villa,Leicester
3992,26794,2025-01-04,Brighton,Arsenal
3993,26795,2025-01-04,Crystal Palace,Chelsea
3994,26796,2025-01-05,Fulham,Ipswich
3995,26797,2025-01-05,Liverpool,Manchester United
3996,26798,2025-01-04,Manchester City,West Ham
3997,26799,2025-01-04,Southampton,Brentford
3998,26800,2025-01-04,Tottenham,Newcastle United
3999,26801,2025-01-06,Wolverhampton Wanderers,Nottingham Forest
4000,26802,2025-01-15,Arsenal,Tottenham
4001,26803,2025-01-14,Brentford,Manchester City
4002,26804,2025-01-15,Everton,Aston Villa
4003,26805,2025-01-16,Ipswich,Brighton
4004,26806,2025-01-15,Leicester,Crystal Palace
4005,26807,2025-01-14,Nottingham Forest,Liverpool
4006,26808,2025-01-14,West Ham,Fulham
4007,26809,2025-01-14,Chelsea,Bournemouth
4008,26810,2025-01-15,Newcastle United,Wolverhampton Wanderers
4009,26811,2025-01-16,Manchester United,Southampton
4010,26812,2025-01-18,Arsenal,Aston Villa
4011,26813,2025-01-18,Brentford,Liverpool
4012,26814,2025-01-20,Chelsea,Wolverhampton Wanderers
4013,26815,2025-01-19,Everton,Tottenham
4014,26816,2025-01-19,Ipswich,Manchester City
4015,26817,2025-01-18,Leicester,Fulham
4016,26818,2025-01-19,Manchester United,Brighton
4017,26819,2025-01-18,Newcastle United,Bournemouth
4018,26820,2025-01-19,Nottingham Forest,Southampton
4019,26821,2025-01-18,West Ham,Crystal Palace
