player_game_id,player_name,game_id,team_name,minutes,shots,goals,key_passes,assists,xG,xA,understat_game_id,date,away
108113,Sander Berge,3852,Fulham,19,0,0,0,0,0.0,0.0,26653,2024-09-28,Fulham
108114,Harrison Reed,3852,Fulham,5,0,0,0,0,0.0,0.0,26653,2024-09-28,Fulham
108115,Reiss Nelson,3852,Fulham,19,0,0,0,0,0.0,0.0,26653,2024-09-28,Fulham
108116,Jordan Pickford,3853,Everton,90,0,0,0,0,0.0,0.0,26654,2024-09-28,Crystal Palace
108117,Ashley Young,3853,Everton,90,0,0,1,1,0.0,0.02,26654,2024-09-28,Crystal Palace
108118,James Tarkowski,3853,Everton,90,1,0,0,0,0.14,0.0,26654,2024-09-28,Crystal Palace
108119,Jarrad Branthwaite,3853,Everton,90,0,0,0,0,0.0,0.0,26654,2024-09-28,Crystal Palace
108120,Vitalii Mykolenko,3853,Everton,90,1,0,1,0,0.01,0.32,26654,2024-09-28,Crystal Palace
108121,Orel Mangala,3853,Everton,84,0,0,0,0,0.0,0.0,26654,2024-09-28,Crystal Palace
108122,Abdoulaye Doucouré,3853,Everton,90,0,0,1,0,0.0,0.01,26654,2024-09-28,Crystal Palace
108123,Jesper Lindstrom,3853,Everton,47,0,0,2,0,0.0,0.59,26654,2024-09-28,Crystal Palace
108124,Dwight McNeil,3853,Everton,84,3,2,1,0,0.43,0.06,26654,2024-09-28,Crystal Palace
108125,Iliman Ndiaye,3853,Everton,90,0,0,1,0,0.0,0.02,26654,2024-09-28,Crystal Palace
108126,Dominic Calvert-Lewin,3853,Everton,90,2,0,0,0,0.51,0.0,26654,2024-09-28,Crystal Palace
108127,Idrissa Gueye,3853,Everton,6,1,0,0,0,0.02,0.0,26654,2024-09-28,Crystal Palace
108128,Jack Harrison,3853,Everton,43,0,0,0,0,0.0,0.0,26654,2024-09-28,Crystal Palace
108129,James Garner,3853,Everton,6,0,0,0,0,0.0,0.0,26654,2024-09-28,Crystal Palace
108130,Dean Henderson,3853,Crystal Palace,90,1,0,0,0,0.01,0.0,26654,2024-09-28,Crystal Palace
108131,Jefferson Lerma,3853,Crystal Palace,90,1,0,1,0,0.01,0.14,26654,2024-09-28,Crystal Palace
108132,Maxence Lacroix,3853,Crystal Palace,90,1,0,1,1,0.08,0.5,26654,2024-09-28,Crystal Palace
108133,Marc Guehi,3853,Crystal Palace,90,1,1,2,0,0.5,0.02,26654,2024-09-28,Crystal Palace
108134,Daniel Muñoz,3853,Crystal Palace,90,2,0,1,0,0.15,0.03,26654,2024-09-28,Crystal Palace
