season,gw,fpl_element,local_understat_id,local_understat_fixture,fpl_name,understat_name,position,fpl_team,understat_team,opponent_fpl_team_number,fpl_kickoff_time,understat_date,value,points,minutes,goals_scored,xG,goals_conceded,assists,xA,yellow_cards,red_cards,clean_sheets,key_passes,own_goals,penalties_missed,penalties_saved,saves,bonus,team_a_score,team_h_score,was_home,expected_assists,expected_goals
2024-25,11,145,109604.0,3902.0,Joël Veltman,Joël Veltman,2,21,Brighton,10,2024-11-09T17:30:00Z,2024-11-09,45,2,90,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,1,2,True,0.02,0.0
2024-25,12,145,109886.0,3911.0,Joël Veltman,Joël Veltman,2,21,Brighton,2,2024-11-23T15:00:00Z,2024-11-23,45,2,90,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,2,1,False,0.01,0.0
2024-25,13,145,,,Joël Veltman,Joël Veltman,2,21,,13,2024-11-29T20:00:00Z,,46,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,True,0.0,0.0
2024-25,14,145,,,Joël Veltman,Joël Veltman,2,21,,25,2024-12-05T19:30:00Z,,46,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,3,False,0.0,0.0
2024-25,15,145,,,Joël Veltman,Joël Veltman,2,21,,8,2024-12-08T14:00:00Z,,46,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,2,False,0.0,0.0
2024-25,16,145,,,Joël Veltman,Joël Veltman,2,21,,5,2024-12-15T14:00:00Z,,45,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,3,1,True,0.0,0.0
2024-25,17,145,111529.0,3965.0,Joël Veltman,Joël Veltman,2,21,Brighton,20,2024-12-21T15:00:00Z,2024-12-21,45,1,66,0,0.0,1,0,0.0,1,0,0,0.0,0,0,0,0,0,1,1,False,0.01,0.0
2024-25,18,145,111726.0,3972.0,Joël Veltman,Joël Veltman,2,21,Brighton,31,2024-12-27T19:30:00Z,2024-12-27,45,8,87,0,0.03,0,0,0.0,0,0,1,0.0,0,0,0,0,2,0,0,True,0.03,0.06
2024-25,19,145,,,Joël Veltman,Joël Veltman,2,21,,27,2024-12-30T19:45:00Z,,45,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,2,False,0.0,0.0
2024-25,20,145,112338.0,3992.0,Joël Veltman,Joël Veltman,2,21,Brighton,1,2025-01-04T17:30:00Z,2025-01-04,45,1,90,0,0.0,1,0,0.23,1,0,0,1.0,0,0,0,0,0,1,1,True,0.0,0.0
2024-25,21,145,112669.0,4003.0,Joël Veltman,Joël Veltman,2,21,Brighton,34,2025-01-16T19:30:00Z,2025-01-16,44,5,90,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,2,0,False,0.04,0.0
2024-25,22,145,113059.0,4016.0,Joël Veltman,Joël Veltman,2,21,Brighton,11,2025-01-19T14:00:00Z,2025-01-19,44,2,90,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,3,1,False,0.01,0.0
2024-25,6,532,,,Kurt Zouma,Kurt Zouma,2,20,,31,2024-09-28T14:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,False,0.0,0.0
2024-25,7,532,,,Kurt Zouma,Kurt Zouma,2,20,,34,2024-10-05T14:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,4,True,0.0,0.0
2024-25,8,532,,,Kurt Zouma,Kurt Zouma,2,20,,17,2024-10-19T11:30:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,4,False,0.0,0.0
2024-25,9,532,,,Kurt Zouma,Kurt Zouma,2,20,,11,2024-10-27T14:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,2,True,0.0,0.0
2024-25,10,532,,,Kurt Zouma,Kurt Zouma,2,20,,32,2024-11-02T15:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,3,False,0.0,0.0
2024-25,11,532,,,Kurt Zouma,Kurt Zouma,2,20,,6,2024-11-09T15:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,True,0.0,0.0
2024-25,12,532,,,Kurt Zouma,Kurt Zouma,2,20,,23,2024-11-25T20:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,0,False,0.0,0.0
2024-25,13,532,,,Kurt Zouma,Kurt Zouma,2,20,,1,2024-11-30T17:30:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,5,2,True,0.0,0.0
2024-25,14,532,,,Kurt Zouma,Kurt Zouma,2,20,,8,2024-12-03T20:15:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,3,False,0.0,0.0
2024-25,15,532,,,Kurt Zouma,Kurt Zouma,2,20,,26,2024-12-09T20:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,2,True,0.0,0.0
2024-25,16,532,,,Kurt Zouma,Kurt Zouma,2,20,,2,2024-12-16T20:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,False,0.0,0.0
2024-25,17,532,,,Kurt Zouma,Kurt Zouma,2,20,,21,2024-12-21T15:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,True,0.0,0.0
2024-25,18,532,,,Kurt Zouma,Kurt Zouma,2,20,,13,2024-12-26T15:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,False,0.0,0.0
2024-25,19,532,,,Kurt Zouma,Kurt Zouma,2,20,,9,2024-12-29T17:15:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,5,0,True,0.0,0.0
2024-25,20,532,,,Kurt Zouma,Kurt Zouma,2,20,,10,2025-01-04T15:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,4,False,0.0,0.0
2024-25,21,532,,,Kurt Zouma,Kurt Zouma,2,20,,25,2025-01-14T19:30:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,3,True,0.0,0.0
2024-25,22,532,,,Kurt Zouma,Kurt Zouma,2,20,,5,2025-01-18T15:00:00Z,,44,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,0,True,0.0,0.0
2024-25,6,517,,,Aaron Cresswell,Aaron Cresswell,2,20,,31,2024-09-28T14:00:00Z,,40,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,False,0.0,0.0
2024-25,7,517,108466.0,3864.0,Aaron Cresswell,Aaron Cresswell,2,20,West Ham,34,2024-10-05T14:00:00Z,2024-10-05,40,1,7,0,0.04,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,4,True,0.0,0.03
2024-25,8,517,,,Aaron Cresswell,Aaron Cresswell,2,20,,17,2024-10-19T11:30:00Z,,40,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,4,False,0.0,0.0
2024-25,9,517,109226.0,3889.0,Aaron Cresswell,Aaron Cresswell,2,20,West Ham,11,2024-10-27T14:00:00Z,2024-10-27,40,0,1,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,1,2,True,0.0,0.0
2024-25,10,517,,,Aaron Cresswell,Aaron Cresswell,2,20,,32,2024-11-02T15:00:00Z,,40,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,3,False,0.0,0.0
