id,player_name,game_id,team_name,minutes,shots,goals,key_passes,assists,xG,xA
113267,Eberechi Eze,4023,Crystal Palace,90,5,0,5,0,0.25,0.13
113268,Jean-Philippe Mateta,4023,Crystal Palace,90,1,0,0,0,0.07,0.00
113269,Daichi Kamada,4023,Crystal Palace,6,0,0,0,0,0.00,0.00
113270,Eddie Nketiah,4023,Crystal Palace,18,1,0,0,0,0.09,0.00
113271,Romain Esse,4023,Crystal Palace,7,1,1,0,0,0.58,0.00
113272,Mark Flekken,4023,Brentford,90,0,0,0,0,0.00,0.00
113273,Mads Roerslev,4023,Brentford,90,1,0,1,0,0.03,0.02
113274,Nathan Collins,4023,Brentford,90,0,0,2,0,0.00,0.08
113275,Sepp van den Berg,4023,Brentford,90,1,0,0,0,0.08,0.00
113276,Keane Lewis-Potter,4023,Brentford,90,1,0,0,0,0.01,0.00
113277,Christian Nørgaard,4023,Brentford,54,0,0,0,0,0.00,0.00
113278,Vitaly Janelt,4023,Brentford,90,0,0,0,0,0.00,0.00
113279,Bryan Mbeumo,4023,Brentford,90,4,1,1,0,1.52,0.02
113280,Mikkel Damsgaard,4023,Brentford,90,0,0,4,1,0.00,0.23
113281,Kevin Schade,4023,Brentford,84,3,1,1,0,0.11,0.09
113282,Yoane Wissa,4023,Brentford,90,3,0,1,0,0.16,0.65
113283,Mathias Jensen,4023,Brentford,36,0,0,0,0,0.00,0.00
113284,Ben Mee,4023,Brentford,1,0,0,0,0,0.00,0.00
113285,Yehor Yarmolyuk,4023,Brentford,6,0,0,0,0,0.00,0.00
113286,Bernd Leno,4024,Fulham,90,0,0,0,0,0.00,0.00
113287,Timothy Castagne,4024,Fulham,90,0,0,1,0,0.00,0.05
113288,Joachim Andersen,4024,Fulham,90,1,0,0,0,0.08,0.00
113289,Calvin Bassey,4024,Fulham,90,0,0,0,0,0.00,0.00
113290,Antonee Robinson,4024,Fulham,90,0,0,1,0,0.00,0.03
